cell,num_people,std_dev_x,std_dev_y
"(-50, -50, -40, -40)",0,0,0
"(-50, -40, -40, -30)",0,0,0
"(-50, -30, -40, -20)",0,0,0
"(-50, -20, -40, -10)",0,0,0
"(-50, -10, -40, 0)",0,0,0
"(-50, 0, -40, 10)",0,0,0
"(-50, 10, -40, 20)",0,0,0
"(-50, 20, -40, 30)",0,0,0
"(-50, 30, -40, 40)",0,0,0
"(-50, 40, -40, 50)",0,0,0
"(-50, 50, -40, 60)",0,0,0
"(-50, 60, -40, 70)",0,0,0
"(-50, 70, -40, 80)",0,0,0
"(-50, 80, -40, 90)",0,0,0
"(-50, 90, -40, 100)",0,0,0
"(-40, -50, -30, -40)",0,0,0
"(-40, -40, -30, -30)",0,0,0
"(-40, -30, -30, -20)",0,0,0
"(-40, -20, -30, -10)",0,0,0
"(-40, -10, -30, 0)",0,0,0
"(-40, 0, -30, 10)",0,0,0
"(-40, 10, -30, 20)",0,0,0
"(-40, 20, -30, 30)",0,0,0
"(-40, 30, -30, 40)",0,0,0
"(-40, 40, -30, 50)",0,0,0
"(-40, 50, -30, 60)",0,0,0
"(-40, 60, -30, 70)",0,0,0
"(-40, 70, -30, 80)",0,0,0
"(-40, 80, -30, 90)",0,0,0
"(-40, 90, -30, 100)",0,0,0
"(-30, -50, -20, -40)",0,0,0
"(-30, -40, -20, -30)",0,0,0
"(-30, -30, -20, -20)",0,0,0
"(-30, -20, -20, -10)",0,0,0
"(-30, -10, -20, 0)",0,0,0
"(-30, 0, -20, 10)",0,0,0
"(-30, 10, -20, 20)",0,0,0
"(-30, 20, -20, 30)",0,0,0
"(-30, 30, -20, 40)",0,0,0
"(-30, 40, -20, 50)",0,0,0
"(-30, 50, -20, 60)",0,0,0
"(-30, 60, -20, 70)",0,0,0
"(-30, 70, -20, 80)",0,0,0
"(-30, 80, -20, 90)",0,0,0
"(-30, 90, -20, 100)",0,0,0
"(-20, -50, -10, -40)",0,0,0
"(-20, -40, -10, -30)",0,0,0
"(-20, -30, -10, -20)",0,0,0
"(-20, -20, -10, -10)",0,0,0
"(-20, -10, -10, 0)",0,0,0
"(-20, 0, -10, 10)",0,0,0
"(-20, 10, -10, 20)",0,0,0
"(-20, 20, -10, 30)",0,0,0
"(-20, 30, -10, 40)",0,0,0
"(-20, 40, -10, 50)",0,0,0
"(-20, 50, -10, 60)",0,0,0
