cell,num_people,std_dev_x,std_dev_y
"(-900, -900, -890, -890)",0.0,0.0,0.0
"(-900, -890, -890, -880)",0.0,0.0,0.0
"(-900, -880, -890, -870)",0.0,0.0,0.0
"(-900, -870, -890, -860)",0.0,0.0,0.0
"(-900, -860, -890, -850)",0.0,0.0,0.0
"(-900, -850, -890, -840)",0.0,0.0,0.0
"(-900, -840, -890, -830)",0.0,0.0,0.0
"(-900, -830, -890, -820)",0.0,0.0,0.0
"(-900, -820, -890, -810)",0.0,0.0,0.0
"(-900, -810, -890, -800)",0.0,0.0,0.0
"(-900, -800, -890, -790)",0.0,0.0,0.0
"(-900, -790, -890, -780)",0.0,0.0,0.0
"(-900, -780, -890, -770)",0.0,0.0,0.0
"(-900, -770, -890, -760)",0.0,0.0,0.0
"(-900, -760, -890, -750)",0.0,0.0,0.0
"(-900, -750, -890, -740)",0.0,0.0,0.0
"(-900, -740, -890, -730)",0.0,0.0,0.0
"(-900, -730, -890, -720)",0.0,0.0,0.0
"(-900, -720, -890, -710)",0.0,0.0,0.0
"(-900, -710, -890, -700)",0.0,0.0,0.0
"(-900, -700, -890, -690)",0.0,0.0,0.0
"(-900, -690, -890, -680)",0.0,0.0,0.0
"(-900, -680, -890, -670)",0.0,0.0,0.0
"(-900, -670, -890, -660)",0.0,0.0,0.0
"(-900, -660, -890, -650)",0.0,0.0,0.0
"(-900, -650, -890, -640)",0.0,0.0,0.0
"(-900, -640, -890, -630)",0.0,0.0,0.0
"(-900, -630, -890, -620)",0.0,0.0,0.0
"(-900, -620, -890, -610)",0.0,0.0,0.0
"(-900, -610, -890, -600)",0.0,0.0,0.0
"(-900, -600, -890, -590)",0.0,0.0,0.0
"(-900, -590, -890, -580)",0.0,0.0,0.0
"(-900, -580, -890, -570)",0.0,0.0,0.0
"(-900, -570, -890, -560)",0.0,0.0,0.0
"(-900, -560, -890, -550)",0.0,0.0,0.0
"(-900, -550, -890, -540)",0.0,0.0,0.0
"(-900, -540, -890, -530)",0.0,0.0,0.0
"(-900, -530, -890, -520)",0.0,0.0,0.0
"(-900, -520, -890, -510)",0.0,0.0,0.0
"(-900, -510, -890, -500)",0.0,0.0,0.0
"(-900, -500, -890, -490)",0.0,0.0,0.0
"(-900, -490, -890, -480)",0.0,0.0,0.0
"(-900, -480, -890, -470)",0.0,0.0,0.0
"(-900, -470, -890, -460)",0.0,0.0,0.0
"(-900, -460, -890, -450)",0.0,0.0,0.0
"(-900, -450, -890, -440)",0.0,0.0,0.0
"(-900, -440, -890, -430)",0.0,0.0,0.0
"(-900, -430, -890, -420)",0.0,0.0,0.0
"(-900, -420, -890, -410)",0.0,0.0,0.0
"(-900, -410, -890, -400)",0.0,0.0,0.0
"(-900, -400, -890, -390)",0.0,0.0,0.0
"(-900, -390, -890, -380)",0.0,0.0,0.0
"(-900, -380, -890, -370)",0.0,0.0,0.0
"(-900, -370, -890, -360)",0.0,0.0,0.0
"(-900, -360, -890, -350)",0.0,0.0,0.0
"(-900, -350, -890, -340)",0.0,0.0,0.0
"(-900, -340, -890, -330)",0.0,0.0,0.0
"(-900, -330, -890, -320)",0.0,0.0,0.0
"(-900, -320, -890, -310)",0.0,0.0,0.0
"(-900, -310, -890, -300)",0.0,0.0,0.0
"(-900, -300, -890, -290)",0.0,0.0,0.0
"(-900, -290, -890, -280)",0.0,0.0,0.0
"(-900, -280, -890, -270)",0.0,0.0,0.0
"(-900, -270, -890, -260)",0.0,0.0,0.0
"(-900, -260, -890, -250)",0.0,0.0,0.0
"(-900, -250, -890, -240)",0.0,0.0,0.0
"(-900, -240, -890, -230)",0.0,0.0,0.0
"(-900, -230, -890, -220)",0.0,0.0,0.0
"(-900, -220, -890, -210)",0.0,0.0,0.0
"(-900, -210, -890, -200)",0.0,0.0,0.0
"(-900, -200, -890, -190)",0.0,0.0,0.0
"(-900, -190, -890, -180)",0.0,0.0,0.0
"(-900, -180, -890, -170)",0.0,0.0,0.0
"(-900, -170, -890, -160)",0.0,0.0,0.0
"(-900, -160, -890, -150)",0.0,0.0,0.0
"(-900, -150, -890, -140)",0.0,0.0,0.0
"(-900, -140, -890, -130)",0.0,0.0,0.0
"(-900, -130, -890, -120)",0.0,0.0,0.0
"(-900, -120, -890, -110)",0.0,0.0,0.0
