celle_visit,celle_visit,num_cambi_cella
person_0,"{(340.0, 540.0, 350.0, 550.0), (320.0, 510.0, 330.0, 520.0), (330.0, 530.0, 340.0, 540.0), (320.0, 520.0, 330.0, 530.0), (370.0, 540.0, 380.0, 550.0), (360.0, 540.0, 370.0, 550.0), (330.0, 520.0, 340.0, 530.0), (330.0, 540.0, 340.0, 550.0), (340.0, 550.0, 350.0, 560.0), (350.0, 550.0, 360.0, 560.0), (360.0, 550.0, 370.0, 560.0)}",49
0,"{(670.0, 430.0, 680.0, 440.0), (670.0, 450.0, 680.0, 460.0), (660.0, 410.0, 670.0, 420.0), (680.0, 470.0, 690.0, 480.0), (700.0, 490.0, 710.0, 500.0), (690.0, 470.0, 700.0, 480.0), (650.0, 400.0, 660.0, 410.0), (660.0, 430.0, 670.0, 440.0), (660.0, 420.0, 670.0, 430.0), (650.0, 410.0, 660.0, 420.0), (690.0, 490.0, 700.0, 500.0), (690.0, 480.0, 700.0, 490.0), (680.0, 460.0, 690.0, 470.0), (670.0, 440.0, 680.0, 450.0), (680.0, 450.0, 690.0, 460.0)}",68
1,"{(410.0, 410.0, 420.0, 420.0), (200.0, 520.0, 210.0, 530.0), (400.0, 420.0, 410.0, 430.0), (400.0, 410.0, 410.0, 420.0), (320.0, 460.0, 330.0, 470.0), (300.0, 460.0, 310.0, 470.0), (430.0, 400.0, 440.0, 410.0), (310.0, 460.0, 320.0, 470.0), (390.0, 420.0, 400.0, 430.0), (400.0, 290.0, 410.0, 300.0), (210.0, 510.0, 220.0, 520.0), (410.0, 340.0, 420.0, 350.0), (240.0, 500.0, 250.0, 510.0), (300.0, 470.0, 310.0, 480.0), (330.0, 450.0, 340.0, 460.0), (440.0, 380.0, 450.0, 390.0), (420.0, 350.0, 430.0, 360.0), (430.0, 370.0, 440.0, 380.0), (420.0, 360.0, 430.0, 370.0), (320.0, 450.0, 330.0, 460.0), (430.0, 390.0, 440.0, 400.0), (410.0, 350.0, 420.0, 360.0), (290.0, 470.0, 300.0, 480.0), (220.0, 500.0, 230.0, 510.0), (410.0, 280.0, 420.0, 290.0), (240.0, 490.0, 250.0, 500.0), (430.0, 360.0, 440.0, 370.0), (410.0, 330.0, 420.0, 340.0), (250.0, 490.0, 260.0, 500.0), (400.0, 320.0, 410.0, 330.0), (420.0, 400.0, 430.0, 410.0), (280.0, 480.0, 290.0, 490.0), (400.0, 280.0, 410.0, 290.0), (270.0, 480.0, 280.0, 490.0), (400.0, 300.0, 410.0, 310.0), (260.0, 490.0, 270.0, 500.0), (260.0, 480.0, 270.0, 490.0), (420.0, 280.0, 430.0, 290.0), (410.0, 320.0, 420.0, 330.0), (420.0, 270.0, 430.0, 280.0), (400.0, 310.0, 410.0, 320.0)}",193
2,"{(330.0, 330.0, 340.0, 340.0), (100.0, 480.0, 110.0, 490.0), (110.0, 500.0, 120.0, 510.0), (200.0, 450.0, 210.0, 460.0), (230.0, 430.0, 240.0, 440.0), (330.0, 350.0, 340.0, 360.0), (220.0, 430.0, 230.0, 440.0), (270.0, 420.0, 280.0, 430.0), (110.0, 470.0, 120.0, 480.0), (110.0, 480.0, 120.0, 490.0), (250.0, 420.0, 260.0, 430.0), (260.0, 420.0, 270.0, 430.0), (330.0, 320.0, 340.0, 330.0), (330.0, 360.0, 340.0, 370.0), (140.0, 460.0, 150.0, 470.0), (250.0, 430.0, 260.0, 440.0), (280.0, 410.0, 290.0, 420.0), (270.0, 410.0, 280.0, 420.0), (140.0, 470.0, 150.0, 480.0), (170.0, 450.0, 180.0, 460.0), (330.0, 340.0, 340.0, 350.0), (200.0, 440.0, 210.0, 450.0), (300.0, 390.0, 310.0, 400.0), (290.0, 390.0, 300.0, 400.0), (130.0, 470.0, 140.0, 480.0), (160.0, 450.0, 170.0, 460.0), (290.0, 400.0, 300.0, 410.0), (320.0, 380.0, 330.0, 390.0), (160.0, 460.0, 170.0, 470.0), (120.0, 470.0, 130.0, 480.0), (190.0, 450.0, 200.0, 460.0), (310.0, 390.0, 320.0, 400.0), (310.0, 380.0, 320.0, 390.0), (110.0, 510.0, 120.0, 520.0), (150.0, 460.0, 160.0, 470.0), (110.0, 490.0, 120.0, 500.0), (330.0, 370.0, 340.0, 380.0), (220.0, 440.0, 230.0, 450.0), (180.0, 450.0, 190.0, 460.0), (210.0, 440.0, 220.0, 450.0), (240.0, 430.0, 250.0, 440.0)}",176
3,"{(410.0, 410.0, 420.0, 420.0), (170.0, 540.0, 180.0, 550.0), (190.0, 620.0, 200.0, 630.0), (180.0, 520.0, 190.0, 530.0), (400.0, 420.0, 410.0, 430.0), (400.0, 410.0, 410.0, 420.0), (190.0, 520.0, 200.0, 530.0), (300.0, 460.0, 310.0, 470.0), (320.0, 460.0, 330.0, 470.0), (430.0, 400.0, 440.0, 410.0), (310.0, 460.0, 320.0, 470.0), (390.0, 420.0, 400.0, 430.0), (180.0, 530.0, 190.0, 540.0), (400.0, 290.0, 410.0, 300.0), (210.0, 510.0, 220.0, 520.0), (410.0, 340.0, 420.0, 350.0), (210.0, 630.0, 220.0, 640.0), (190.0, 600.0, 200.0, 610.0), (200.0, 510.0, 210.0, 520.0), (300.0, 470.0, 310.0, 480.0), (330.0, 450.0, 340.0, 460.0), (230.0, 490.0, 240.0, 500.0), (440.0, 380.0, 450.0, 390.0), (420.0, 350.0, 430.0, 360.0), (430.0, 370.0, 440.0, 380.0), (420.0, 360.0, 430.0, 370.0), (320.0, 450.0, 330.0, 460.0), (430.0, 390.0, 440.0, 400.0), (410.0, 350.0, 420.0, 360.0), (290.0, 470.0, 300.0, 480.0), (190.0, 610.0, 200.0, 620.0), (200.0, 630.0, 210.0, 640.0), (220.0, 500.0, 230.0, 510.0), (170.0, 580.0, 180.0, 590.0), (210.0, 500.0, 220.0, 510.0), (240.0, 490.0, 250.0, 500.0), (430.0, 360.0, 440.0, 370.0), (160.0, 540.0, 170.0, 550.0), (410.0, 330.0, 420.0, 340.0), (380.0, 300.0, 390.0, 310.0), (250.0, 490.0, 260.0, 500.0), (370.0, 300.0, 380.0, 310.0), (160.0, 560.0, 170.0, 570.0), (230.0, 500.0, 240.0, 510.0), (420.0, 400.0, 430.0, 410.0), (150.0, 550.0, 160.0, 560.0), (150.0, 540.0, 160.0, 550.0), (280.0, 480.0, 290.0, 490.0), (400.0, 320.0, 410.0, 330.0), (270.0, 480.0, 280.0, 490.0), (170.0, 570.0, 180.0, 580.0), (180.0, 590.0, 190.0, 600.0), (400.0, 300.0, 410.0, 310.0), (180.0, 600.0, 190.0, 610.0), (170.0, 530.0, 180.0, 540.0), (390.0, 290.0, 400.0, 300.0), (260.0, 480.0, 270.0, 490.0), (160.0, 570.0, 170.0, 580.0), (170.0, 590.0, 180.0, 600.0), (380.0, 290.0, 390.0, 300.0), (410.0, 320.0, 420.0, 330.0), (200.0, 620.0, 210.0, 630.0), (210.0, 640.0, 220.0, 650.0), (400.0, 310.0, 410.0, 320.0)}",313
4,"{(430.0, 440.0, 440.0, 450.0), (520.0, 590.0, 530.0, 600.0), (410.0, 410.0, 420.0, 420.0), (500.0, 560.0, 510.0, 570.0), (510.0, 580.0, 520.0, 590.0), (510.0, 570.0, 520.0, 580.0), (500.0, 550.0, 510.0, 560.0), (450.0, 460.0, 460.0, 470.0), (280.0, 470.0, 290.0, 480.0), (490.0, 550.0, 500.0, 560.0), (580.0, 600.0, 590.0, 610.0), (200.0, 520.0, 210.0, 530.0), (160.0, 530.0, 170.0, 540.0), (400.0, 410.0, 410.0, 420.0), (480.0, 540.0, 490.0, 550.0), (400.0, 420.0, 410.0, 430.0), (320.0, 460.0, 330.0, 470.0), (190.0, 520.0, 200.0, 530.0), (130.0, 520.0, 140.0, 530.0), (310.0, 460.0, 320.0, 470.0), (390.0, 420.0, 400.0, 430.0), (480.0, 520.0, 490.0, 530.0), (180.0, 530.0, 190.0, 540.0), (470.0, 510.0, 480.0, 520.0), (470.0, 500.0, 480.0, 510.0), (430.0, 420.0, 440.0, 430.0), (420.0, 410.0, 430.0, 420.0), (210.0, 510.0, 220.0, 520.0), (460.0, 490.0, 470.0, 500.0), (240.0, 500.0, 250.0, 510.0), (210.0, 520.0, 220.0, 530.0), (330.0, 450.0, 340.0, 460.0), (300.0, 470.0, 310.0, 480.0), (490.0, 540.0, 500.0, 550.0), (330.0, 460.0, 340.0, 470.0), (530.0, 620.0, 540.0, 630.0), (560.0, 610.0, 570.0, 620.0), (290.0, 470.0, 300.0, 480.0), (220.0, 510.0, 230.0, 520.0), (470.0, 490.0, 480.0, 500.0), (440.0, 440.0, 450.0, 450.0), (130.0, 510.0, 140.0, 520.0), (480.0, 530.0, 490.0, 540.0), (440.0, 460.0, 450.0, 470.0), (450.0, 470.0, 460.0, 480.0), (440.0, 450.0, 450.0, 460.0), (580.0, 610.0, 590.0, 620.0), (160.0, 540.0, 170.0, 550.0), (550.0, 610.0, 560.0, 620.0), (250.0, 490.0, 260.0, 500.0), (190.0, 530.0, 200.0, 540.0), (460.0, 480.0, 470.0, 490.0), (230.0, 500.0, 240.0, 510.0), (520.0, 600.0, 530.0, 610.0), (280.0, 480.0, 290.0, 490.0), (250.0, 500.0, 260.0, 510.0), (510.0, 590.0, 520.0, 600.0), (150.0, 540.0, 160.0, 550.0), (540.0, 610.0, 550.0, 620.0), (540.0, 620.0, 550.0, 630.0), (270.0, 480.0, 280.0, 490.0), (140.0, 540.0, 150.0, 550.0), (500.0, 570.0, 510.0, 580.0), (570.0, 610.0, 580.0, 620.0), (170.0, 530.0, 180.0, 540.0), (530.0, 610.0, 540.0, 620.0), (260.0, 490.0, 270.0, 500.0), (520.0, 610.0, 530.0, 620.0), (140.0, 530.0, 150.0, 540.0), (430.0, 430.0, 440.0, 440.0), (420.0, 420.0, 430.0, 430.0), (460.0, 470.0, 470.0, 480.0)}",437
5,"{(600.0, 140.0, 610.0, 150.0), (710.0, 210.0, 720.0, 220.0), (730.0, 180.0, 740.0, 190.0), (720.0, 170.0, 730.0, 180.0), (730.0, 190.0, 740.0, 200.0), (730.0, 200.0, 740.0, 210.0), (610.0, 170.0, 620.0, 180.0), (580.0, 140.0, 590.0, 150.0), (670.0, 230.0, 680.0, 240.0), (610.0, 160.0, 620.0, 170.0), (550.0, 160.0, 560.0, 170.0), (690.0, 220.0, 700.0, 230.0), (640.0, 210.0, 650.0, 220.0), (640.0, 220.0, 650.0, 230.0), (620.0, 190.0, 630.0, 200.0), (630.0, 200.0, 640.0, 210.0), (560.0, 150.0, 570.0, 160.0), (550.0, 150.0, 560.0, 160.0), (680.0, 230.0, 690.0, 240.0), (680.0, 220.0, 690.0, 230.0), (720.0, 180.0, 730.0, 190.0), (590.0, 140.0, 600.0, 150.0), (600.0, 160.0, 610.0, 170.0), (600.0, 150.0, 610.0, 160.0), (720.0, 200.0, 730.0, 210.0), (700.0, 210.0, 710.0, 220.0), (620.0, 180.0, 630.0, 190.0), (630.0, 190.0, 640.0, 200.0), (630.0, 210.0, 640.0, 220.0), (730.0, 170.0, 740.0, 180.0), (570.0, 140.0, 580.0, 150.0), (650.0, 230.0, 660.0, 240.0), (570.0, 150.0, 580.0, 160.0), (710.0, 200.0, 720.0, 210.0)}",167
6,"{(540.0, 220.0, 550.0, 230.0), (490.0, 210.0, 500.0, 220.0), (710.0, 210.0, 720.0, 220.0), (640.0, 230.0, 650.0, 240.0), (500.0, 230.0, 510.0, 240.0), (640.0, 240.0, 650.0, 250.0), (580.0, 210.0, 590.0, 220.0), (520.0, 220.0, 530.0, 230.0), (550.0, 210.0, 560.0, 220.0), (550.0, 220.0, 560.0, 230.0), (630.0, 230.0, 640.0, 240.0), (670.0, 230.0, 680.0, 240.0), (520.0, 230.0, 530.0, 240.0), (510.0, 230.0, 520.0, 240.0), (580.0, 200.0, 590.0, 210.0), (650.0, 240.0, 660.0, 250.0), (570.0, 210.0, 580.0, 220.0), (720.0, 220.0, 730.0, 230.0), (620.0, 190.0, 630.0, 200.0), (600.0, 190.0, 610.0, 200.0), (600.0, 200.0, 610.0, 210.0), (620.0, 200.0, 630.0, 210.0), (630.0, 220.0, 640.0, 230.0), (530.0, 220.0, 540.0, 230.0), (620.0, 210.0, 630.0, 220.0), (560.0, 210.0, 570.0, 220.0), (590.0, 200.0, 600.0, 210.0), (680.0, 230.0, 690.0, 240.0), (680.0, 220.0, 690.0, 230.0), (710.0, 220.0, 720.0, 230.0), (630.0, 210.0, 640.0, 220.0), (500.0, 220.0, 510.0, 230.0), (490.0, 220.0, 500.0, 230.0), (610.0, 190.0, 620.0, 200.0)}",174
7,"{(410.0, 410.0, 420.0, 420.0), (260.0, 460.0, 270.0, 470.0), (300.0, 460.0, 310.0, 470.0), (430.0, 400.0, 440.0, 410.0), (250.0, 440.0, 260.0, 450.0), (220.0, 430.0, 230.0, 440.0), (250.0, 460.0, 260.0, 470.0), (670.0, 270.0, 680.0, 280.0), (630.0, 260.0, 640.0, 270.0), (150.0, 360.0, 160.0, 370.0), (650.0, 240.0, 660.0, 250.0), (450.0, 380.0, 460.0, 390.0), (460.0, 370.0, 470.0, 380.0), (720.0, 330.0, 730.0, 340.0), (190.0, 440.0, 200.0, 450.0), (270.0, 480.0, 280.0, 490.0), (470.0, 360.0, 480.0, 370.0), (720.0, 340.0, 730.0, 350.0), (710.0, 320.0, 720.0, 330.0), (620.0, 260.0, 630.0, 270.0), (390.0, 420.0, 400.0, 430.0), (640.0, 250.0, 650.0, 260.0), (610.0, 270.0, 620.0, 280.0), (330.0, 450.0, 340.0, 460.0), (150.0, 370.0, 160.0, 380.0), (150.0, 380.0, 160.0, 390.0), (630.0, 250.0, 640.0, 260.0), (430.0, 390.0, 440.0, 400.0), (140.0, 360.0, 150.0, 370.0), (450.0, 370.0, 460.0, 380.0), (530.0, 300.0, 540.0, 310.0), (660.0, 240.0, 670.0, 250.0), (660.0, 260.0, 670.0, 270.0), (550.0, 300.0, 560.0, 310.0), (670.0, 280.0, 680.0, 290.0), (600.0, 270.0, 610.0, 280.0), (240.0, 430.0, 250.0, 440.0), (160.0, 390.0, 170.0, 400.0), (510.0, 330.0, 520.0, 340.0), (160.0, 400.0, 170.0, 410.0), (160.0, 410.0, 170.0, 420.0), (230.0, 430.0, 240.0, 440.0), (610.0, 260.0, 620.0, 270.0), (320.0, 460.0, 330.0, 470.0), (550.0, 290.0, 560.0, 300.0), (680.0, 280.0, 690.0, 290.0), (540.0, 300.0, 550.0, 310.0), (140.0, 350.0, 150.0, 360.0), (440.0, 380.0, 450.0, 390.0), (290.0, 470.0, 300.0, 480.0), (530.0, 310.0, 540.0, 320.0), (660.0, 250.0, 670.0, 260.0), (570.0, 290.0, 580.0, 300.0), (250.0, 450.0, 260.0, 460.0), (590.0, 280.0, 600.0, 290.0), (700.0, 310.0, 710.0, 320.0), (190.0, 450.0, 200.0, 460.0), (580.0, 290.0, 590.0, 300.0), (260.0, 470.0, 270.0, 480.0), (220.0, 440.0, 230.0, 450.0), (180.0, 450.0, 190.0, 460.0), (240.0, 440.0, 250.0, 450.0), (670.0, 260.0, 680.0, 270.0), (400.0, 420.0, 410.0, 430.0), (400.0, 410.0, 410.0, 420.0), (310.0, 460.0, 320.0, 470.0), (650.0, 250.0, 660.0, 260.0), (680.0, 290.0, 690.0, 300.0), (520.0, 320.0, 530.0, 330.0), (710.0, 310.0, 720.0, 320.0), (160.0, 380.0, 170.0, 390.0), (300.0, 470.0, 310.0, 480.0), (710.0, 330.0, 720.0, 340.0), (510.0, 320.0, 520.0, 330.0), (320.0, 450.0, 330.0, 460.0), (460.0, 360.0, 470.0, 370.0), (200.0, 440.0, 210.0, 450.0), (140.0, 340.0, 150.0, 350.0), (560.0, 290.0, 570.0, 300.0), (700.0, 300.0, 710.0, 310.0), (420.0, 400.0, 430.0, 410.0), (280.0, 480.0, 290.0, 490.0), (260.0, 480.0, 270.0, 490.0), (700.0, 290.0, 710.0, 300.0), (210.0, 440.0, 220.0, 450.0)}",446
8,"{(550.0, 520.0, 560.0, 530.0), (540.0, 360.0, 550.0, 370.0), (590.0, 460.0, 600.0, 470.0), (530.0, 340.0, 540.0, 350.0), (590.0, 470.0, 600.0, 480.0), (530.0, 350.0, 540.0, 360.0), (590.0, 480.0, 600.0, 490.0), (580.0, 460.0, 590.0, 470.0), (550.0, 290.0, 560.0, 300.0), (520.0, 320.0, 530.0, 330.0), (540.0, 300.0, 550.0, 310.0), (560.0, 420.0, 570.0, 430.0), (530.0, 330.0, 540.0, 340.0), (540.0, 520.0, 550.0, 530.0), (570.0, 420.0, 580.0, 430.0), (580.0, 440.0, 590.0, 450.0), (590.0, 500.0, 600.0, 510.0), (600.0, 280.0, 610.0, 290.0), (570.0, 430.0, 580.0, 440.0), (580.0, 450.0, 590.0, 460.0), (530.0, 310.0, 540.0, 320.0), (570.0, 440.0, 580.0, 450.0), (570.0, 290.0, 580.0, 300.0), (560.0, 520.0, 570.0, 530.0), (590.0, 510.0, 600.0, 520.0), (540.0, 370.0, 550.0, 380.0), (550.0, 390.0, 560.0, 400.0), (550.0, 380.0, 560.0, 390.0), (530.0, 300.0, 540.0, 310.0), (560.0, 290.0, 570.0, 300.0), (590.0, 280.0, 600.0, 290.0), (600.0, 300.0, 610.0, 310.0), (580.0, 510.0, 590.0, 520.0), (550.0, 300.0, 560.0, 310.0), (560.0, 410.0, 570.0, 420.0), (560.0, 400.0, 570.0, 410.0), (610.0, 300.0, 620.0, 310.0), (570.0, 510.0, 580.0, 520.0), (600.0, 490.0, 610.0, 500.0), (550.0, 400.0, 560.0, 410.0), (540.0, 380.0, 550.0, 390.0), (520.0, 330.0, 530.0, 340.0), (580.0, 290.0, 590.0, 300.0), (600.0, 500.0, 610.0, 510.0), (560.0, 510.0, 570.0, 520.0), (590.0, 490.0, 600.0, 500.0), (540.0, 350.0, 550.0, 360.0), (600.0, 290.0, 610.0, 300.0)}",256
