cell,num_people,std_dev_x,std_dev_y
"(-850, -850, -840, -840)",0.0,0.0,0.0
"(-850, -840, -840, -830)",0.0,0.0,0.0
"(-850, -830, -840, -820)",0.0,0.0,0.0
"(-850, -820, -840, -810)",0.0,0.0,0.0
"(-850, -810, -840, -800)",0.0,0.0,0.0
"(-850, -800, -840, -790)",0.0,0.0,0.0
"(-850, -790, -840, -780)",0.0,0.0,0.0
"(-850, -780, -840, -770)",0.0,0.0,0.0
"(-850, -770, -840, -760)",0.0,0.0,0.0
"(-850, -760, -840, -750)",0.0,0.0,0.0
"(-850, -750, -840, -740)",0.0,0.0,0.0
"(-850, -740, -840, -730)",0.0,0.0,0.0
"(-850, -730, -840, -720)",0.0,0.0,0.0
"(-850, -720, -840, -710)",0.0,0.0,0.0
"(-850, -710, -840, -700)",0.0,0.0,0.0
"(-850, -700, -840, -690)",0.0,0.0,0.0
"(-850, -690, -840, -680)",0.0,0.0,0.0
"(-850, -680, -840, -670)",0.0,0.0,0.0
"(-850, -670, -840, -660)",0.0,0.0,0.0
"(-850, -660, -840, -650)",0.0,0.0,0.0
"(-850, -650, -840, -640)",0.0,0.0,0.0
"(-850, -640, -840, -630)",0.0,0.0,0.0
"(-850, -630, -840, -620)",0.0,0.0,0.0
"(-850, -620, -840, -610)",0.0,0.0,0.0
"(-850, -610, -840, -600)",0.0,0.0,0.0
"(-850, -600, -840, -590)",0.0,0.0,0.0
"(-850, -590, -840, -580)",0.0,0.0,0.0
"(-850, -580, -840, -570)",0.0,0.0,0.0
"(-850, -570, -840, -560)",0.0,0.0,0.0
"(-850, -560, -840, -550)",0.0,0.0,0.0
"(-850, -550, -840, -540)",0.0,0.0,0.0
"(-850, -540, -840, -530)",0.0,0.0,0.0
"(-850, -530, -840, -520)",0.0,0.0,0.0
"(-850, -520, -840, -510)",0.0,0.0,0.0
"(-850, -510, -840, -500)",0.0,0.0,0.0
"(-850, -500, -840, -490)",0.0,0.0,0.0
"(-850, -490, -840, -480)",0.0,0.0,0.0
"(-850, -480, -840, -470)",0.0,0.0,0.0
"(-850, -470, -840, -460)",0.0,0.0,0.0
